,count,references
"See Dock-
Yard",1,"Dock-
Yard"
See Ignatia,1,Ignatia
See Foliations,1,Foliations
See Heeren’s History of the Revolution of the Gracchi,1,Heeren’s History of the Revolution of the Gracchi
See also the late Dr Scott’s Essay in Wernerian Memoirs,1,also the late Dr Scott’s Essay in Wernerian Memoirs
See also Michaelis,1,also Michaelis
See Divorce,1,Divorce
"See Rosy-
chucian",1,"Rosy-
chucian"
See Halley,1,Halley
"See De
curio",1,"De
curio"
See the article Joinery,1,the article Joinery
"See the ar
ticle Mineralogy",1,"the ar
ticle Mineralogy"
"See Chivalry and Tourna
ment",1,"Chivalry and Tourna
ment"
"See Memoirs
of the Astronomical Society",1,"Memoirs
of the Astronomical Society"
See Cymophane,1,Cymophane
See Dr Allen’s American Biographical and historical Dictionary,1,Dr Allen’s American Biographical and historical Dictionary
"See Vossius de Historicis Lati-
nis",1,"Vossius de Historicis Lati-
nis"
See Barbieri,1,Barbieri
See the article Ichthyology,1,the article Ichthyology
"See Wod-
row’s History of the Sufferings of the Church of Scotland",1,"Wod-
row’s History of the Sufferings of the Church of Scotland"
See Wycliffe,1,Wycliffe
See also Innes,1,also Innes
See also Franzius,1,also Franzius
See Appendix to Ferguson's Lectures,1,Appendix to Ferguson's Lectures
See Slate Whet,1,Slate Whet
"See Mor
tality",1,"Mor
tality"
See an article by this eminent jurist in the Revue Etrangere et Francaisede Legislation; Paris,1,an article by this eminent jurist in the Revue Etrangere et Francaisede Legislation; Paris
See Mr Barlow’s papers in the London Phil,1,Mr Barlow’s papers in the London Phil
"See and any sovereign
prince or state",1,"and any sovereign
prince or state"
See Lstay on the Construction of a Plough,1,Lstay on the Construction of a Plough
"See 14 and
iindn",1,"14 and
iindn"
See Crauford’s Journal of an Embassy to the,1,Crauford’s Journal of an Embassy to the
See but Senriy as much^e as a ma; cracks a win,1,but Senriy as much^e as a ma; cracks a win
See Hermaphrodite,1,Hermaphrodite
See Batnears,1,Batnears
See the article Naples,1,the article Naples
See his Anatomic Gentrale,1,his Anatomic Gentrale
See Desmoulins,1,Desmoulins
See InSh Transactlons’ 1833’ vo1- xvii-; and London and Edinburgh Philosophical Magazine,1,InSh Transactlons’ 1833’ vo1- xvii-; and London and Edinburgh Philosophical Magazine
"See Divine Legation of Moses demonstrated; Gin
bon",1,"Divine Legation of Moses demonstrated; Gin
bon"
"See Mr W ilkins’s account of them in the
Asiatic Researches",1,"Mr W ilkins’s account of them in the
Asiatic Researches"
See Magindanao,1,Magindanao
See Scholium,1,Scholium
See Coal,1,Coal
See Kennedy on the Origin and Formation of Languages ; Klaproth,1,Kennedy on the Origin and Formation of Languages ; Klaproth
See 1 late L^ V,1,1 late L^ V
See Scio,1,Scio
See France and Napoleon,1,France and Napoleon
See Original Letters,1,Original Letters
"See Optics
for",1,"Optics
for"
See Discourse on Devils and Spirits,1,Discourse on Devils and Spirits
See from the lower into the upper cavity,1,from the lower into the upper cavity
See W N* vii,1,W N* vii
See Smeaton s Reports,1,Smeaton s Reports
"See Athens and
Attica",1,"Athens and
Attica"
See the article Westminster,1,the article Westminster
"See 1
Sam",1,"1
Sam"
"See Bur-
dach’a Traite de Physiologie",1,"Bur-
dach’a Traite de Physiologie"
See Hinzouan,1,Hinzouan
"See Deaf and
Dumb",1,"Deaf and
Dumb"
See Stephen de Borbone,1,Stephen de Borbone
See Voyage a Cayenne,1,Voyage a Cayenne
See article Deaf and Dumb,1,article Deaf and Dumb
See description in vols,1,description in vols
See figures 2,1,figures 2
See Pendulum,1,Pendulum
"See the dif
ferent works of Dalrymple",1,"the dif
ferent works of Dalrymple"
See Pearl,1,Pearl
See Dr M‘Crie’s Appendix to the Memoirs of Veitch and Brysson,1,Dr M‘Crie’s Appendix to the Memoirs of Veitch and Brysson
See Return to an order of the House of Commons,1,Return to an order of the House of Commons
See Sesterce,1,Sesterce
"See Diagram
No' 16",1,"Diagram
No' 16"
See Renouard,1,Renouard
See Surgery and Vaccination,1,Surgery and Vaccination
See the article Gama,1,the article Gama
See Slate,1,Slate
See the detailed observations with which we were kindly funfiAied by Dr Grant (of the London University'),1,the detailed observations with which we were kindly funfiAied by Dr Grant (of the London University')
See Cinchona,1,Cinchona
See Travels in Georgia,1,Travels in Georgia
See Cologne,1,Cologne
See Asbestos,1,Asbestos
See “ Storia delle Alpi Marittime,1,“ Storia delle Alpi Marittime
See Orkney Islands,1,Orkney Islands
See the vanitie of man! alas,1,the vanitie of man! alas
See Waldenses,1,Waldenses
See above,1,above
See Philineg,1,Philineg
"See Docks'
YARE",1,"Docks'
YARE"
See the article Ahmy,1,the article Ahmy
See Tailzie,1,Tailzie
See also Polyb,1,also Polyb
See Lord Monboddo’s Origin and Progress of Language,1,Lord Monboddo’s Origin and Progress of Language
"See an abstract of the
work in The Journal of the Royal Geographical Society oj
London",1,"an abstract of the
work in The Journal of the Royal Geographical Society oj
London"
"See Major-General Sir Howard Douglas’s Treatise on Naval Gun-
nenj",1,"Major-General Sir Howard Douglas’s Treatise on Naval Gun-
nenj"
"See there! with ears
And tail erect",1,"there! with ears
And tail erect"
See Saxe-Coburg,1,Saxe-Coburg
See act 6 and 7 Will,1,act 6 and 7 Will
See Bull's State of Man before the Fall,1,Bull's State of Man before the Fall
See Boring,1,Boring
See article Transportation,1,article Transportation
See the figure,1,the figure
"See Ca
tania",1,"Ca
tania"
See Krachenninikow’s Voyage en Sintrie et au Kamtschatka,1,Krachenninikow’s Voyage en Sintrie et au Kamtschatka
"See Baily’s
Astronomical Tables",1,"Baily’s
Astronomical Tables"
See Lachmann,1,Lachmann
See Vienna,1,Vienna
See the article Phrenology,1,the article Phrenology
"See Ca
tullus",1,"Ca
tullus"
See the observations of Lieutenant Burnes,1,the observations of Lieutenant Burnes
See Prsef Ricchini ad Monetam,1,Prsef Ricchini ad Monetam
See Devil,1,Devil
See Baily’s Tables,1,Baily’s Tables
"See Geo
bogy",1,"Geo
bogy"
"See Moral
Philosophy",1,"Moral
Philosophy"
See Athenaeum for the 19th March 1836,1,Athenaeum for the 19th March 1836
See Stanhope,1,Stanhope
See article Physical Geography in this work,1,article Physical Geography in this work
See Petrifaction,1,Petrifaction
See Baking and BnEw-Bai fa,1,Baking and BnEw-Bai fa
See Mosaic Law,1,Mosaic Law
See an elaborate and learned Essay On the Paussidce,1,an elaborate and learned Essay On the Paussidce
See Roman History,1,Roman History
See Orders of the House of Commons,1,Orders of the House of Commons
See Railway,1,Railway
See Artillery,1,Artillery
"See Annales des Sciences
Nat",1,"Annales des Sciences
Nat"
See Travels in Africa,1,Travels in Africa
See Simon’s History of Irish Coins,1,Simon’s History of Irish Coins
See Menandek,1,Menandek
See Biihr,1,Biihr
See Buenos Aykes,1,Buenos Aykes
"See his Anatomic Gen 'i ale-
PHYSIOLOGY",1,"his Anatomic Gen 'i ale-
PHYSIOLOGY"
See Peripteros,1,Peripteros
See Letter of the Secretary of the Treasury,1,Letter of the Secretary of the Treasury
"See his Anatomie Generate-
£
B
PHYSIOLOGY",1,"his Anatomie Generate-
£
B
PHYSIOLOGY"
See Euler,1,Euler
See Debt,1,Debt
See Pinkerton’s Lives of the Saints,1,Pinkerton’s Lives of the Saints
See Pseudo-Prostyle,1,Pseudo-Prostyle
See the subjoined table,1,the subjoined table
See Sir John Shore’s Minute,1,Sir John Shore’s Minute
"See also Lewis’s
Philosophical Commerce of Arts ; Faraday’s Chemical Ma
nipulation ; Parke’s Chemical Essays ; Aikin’s Dictionary
of Chemistry; Tredgold on Warming and Ventilating
Buildings; Tredgold’s Account of the Steam-Engine;
Davies Gilbert",1,"also Lewis’s
Philosophical Commerce of Arts ; Faraday’s Chemical Ma
nipulation ; Parke’s Chemical Essays ; Aikin’s Dictionary
of Chemistry; Tredgold on Warming and Ventilating
Buildings; Tredgold’s Account of the Steam-Engine;
Davies Gilbert"
See Horace and Ovid,1,Horace and Ovid
See Dissertations Third and Fourth,1,Dissertations Third and Fourth
See Conchology,1,Conchology
See Man,1,Man
See Herod,1,Herod
"See Opuscida varia of Byn-
kershock",1,"Opuscida varia of Byn-
kershock"
See Ilor,1,Ilor
See Grammaticcc Latince Institutioncs,1,Grammaticcc Latince Institutioncs
"See Joint;
o knot ",1,"Joint;
o knot "
See Cuvier,1,Cuvier
See Appendix to the Second Report of the Select Committee on the Affairs of the East India Company,1,Appendix to the Second Report of the Select Committee on the Affairs of the East India Company
See Caesar de Bello Gallico,1,Caesar de Bello Gallico
See Angle and Geometry,1,Angle and Geometry
See some valuable papers on Art in Fiction,1,some valuable papers on Art in Fiction
See Pollux,1,Pollux
See Dreams,1,Dreams
See also Lactant,1,also Lactant
See Rlgne Animal,1,Rlgne Animal
"See Douglas’ Survey of Selkirkshire ; the New Statistical
Account of Scotland",1,"Douglas’ Survey of Selkirkshire ; the New Statistical
Account of Scotland"
See the article Admiral),1,the article Admiral)
See Report of the Select Committee of the House of Commons on Transportation,1,Report of the Select Committee of the House of Commons on Transportation
See skeleton of the thorn-back (P,1,skeleton of the thorn-back (P
See Nos,1,Nos
See Marlborough,1,Marlborough
"See Etruria
and Etruscans",1,"Etruria
and Etruscans"
See Exchange,1,Exchange
"See also^Mac-
knight’s Harmony",1,"also^Mac-
knight’s Harmony"
See pp,1,pp
See <te,1,<te
"See the article Ho
mer",1,"the article Ho
mer"
See Leith,1,Leith
See Mineralogv and (jEology,1,Mineralogv and (jEology
See also Wolf,1,also Wolf
